Source,Kategori,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Generate,Pajak,Bayar Samsat Bekasi,Bayar Samsat Bekasi,bayar samsat bekasi,samsat bekasi,samsat bekas,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Samsat Depok,Bayar Samsat Depok,bayar samsat depok,samsat depok,samsat depok,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Samsat Tangerang,Bayar Samsat Tangerang,bayar samsat tangerang,samsat tangerang,samsat tangerang,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Samsat Bandung,Bayar Samsat Bandung,bayar samsat bandung,samsat bandung,samsat bandung,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Samsat Surabaya,Bayar Samsat Surabaya,bayar samsat surabaya,samsat surabaya,samsat surabaya,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Samsat Semarang,Bayar Samsat Semarang,bayar samsat semarang,samsat semarang,samsat semarang,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Samsat Solo,Bayar Samsat Solo,bayar samsat solo,samsat,samsat,3.0,1.0,2.0,66.7
Generate,Pajak,Bayar Samsat Medan,Bayar Samsat Medan,bayar samsat medan,samsat medan,samsat medan,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Samsat Makassar,Bayar Samsat Makassar,bayar samsat makassar,samsat makassar,samsat makassar,3.0,2.0,1.0,33.3
Generate,Pajak,Pembayaran Pajak Kendaraan Online,Pembayaran Pajak Kendaraan Online,pembayaran pajak kendaraan online,pembayaran pajak kendaraan,bayar pajak kendara,4.0,3.0,1.0,25.0
Generate,Pajak,Pembayaran Pajak Kendaraan Offline,Pembayaran Pajak Kendaraan Offline,pembayaran pajak kendaraan offline,pembayaran pajak kendaraan offline,bayar pajak kendara offline,4.0,4.0,0.0,0.0
Generate,Pajak,Tagihan Pajak Kendaraan Tahunan,Tagihan Pajak Kendaraan Tahunan,tagihan pajak kendaraan tahunan,tagihan pajak kendaraan tahunan,tagih pajak kendara tahun,4.0,4.0,0.0,0.0
Generate,Pajak,Tagihan Pajak Kendaraan 5 Tahunan,Tagihan Pajak Kendaraan 5 Tahunan,tagihan pajak kendaraan tahunan,tagihan pajak kendaraan tahunan,tagih pajak kendara tahun,5.0,4.0,1.0,20.0
Generate,Pajak,Bayar Pajak STNK Mati,Bayar Pajak STNK Mati,bayar pajak stnk mati,pajak stnk mati,pajak stnk mati,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Pajak Telat 1 Tahun,Bayar Pajak Telat 1 Tahun,bayar pajak telat tahun,pajak,pajak,5.0,1.0,4.0,80.0
Generate,Pajak,Bayar Pajak Telat 2 Tahun,Bayar Pajak Telat 2 Tahun,bayar pajak telat tahun,pajak,pajak,5.0,1.0,4.0,80.0
Generate,Pajak,Bayar Denda STNK,Bayar Denda STNK,bayar denda stnk,denda stnk,denda stnk,3.0,2.0,1.0,33.3
Generate,Pajak,Denda Pajak Telat Bayar,Denda Pajak Telat Bayar,denda pajak telat bayar,denda pajak,denda pajak,4.0,2.0,2.0,50.0
