Source,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Shopee,Laurier Pantyliner Cleanfresh Non Perfume 2 x 40 pcs,laurier pantyliner cleanfresh,laurier pantyliner cleanfresh non perfume x pcs,laurier pantyliner cleanfresh non perfume,laurier pantyliner cleanfresh non perfume,9.0,5.0,4.0,44.4
Shopee,Laurier Active Day X-tra Pembalut Wanita Daya Serap Ekstra Bebas Bocor 22cm Wing Pengunci Bocor Instant Isi 30 Buah,laurier active day pembalut,laurier active day xtra pembalut wanita daya serap ekstra bebas bocor cm wing pengunci bocor instant isi buah,laurier active day xtra pembalut daya serap ekstra bocor wing pengunci bocor instant,laurier active day xtra balut daya serap ekstra bocor wing kunci bocor instant,19.0,13.0,6.0,31.6
Shopee,Tespek Onemed Alat Cek Tes Kehamilan 10 PCS,onemed alat cek tes kehamilan,tespek onemed alat cek tes kehamilan pcs,tespek onemed alat cek tes kehamilan,tespek onemed alat cek tes hamil,8.0,6.0,2.0,25.0
Shopee,Tes Ovulasi 10 pcs / Tes Kesuburan / LH Ovulation Test / Paket Diskon Grosir Tes Ovulasi,tes ovulasi,tes ovulasi pcs tes kesuburan lh ovulation test paket diskon grosir tes ovulasi,tes ovulasi tes kesuburan lh ovulation test tes ovulasi,tes ovulasi tes subur lh ovulation test tes ovulasi,17.0,9.0,8.0,47.1
Shopee,Testpek - Andalan Pregnancy Test Strip - Alat Tes Kehamilan,andalan pregnancy test strip,testpek andalan pregnancy test strip alat tes kehamilan,testpek andalan pregnancy test strip alat tes kehamilan,testpek andal pregnancy test strip alat tes hamil,10.0,8.0,2.0,20.0
Shopee,Resik-V Feminine Wash Godokan Sirih 100ml,resik-v feminine wash,resikv feminine wash godokan sirih ml,resikv feminine wash godokan sirih,resikv feminine wash godok sirih,6.0,5.0,1.0,16.7
Shopee,Test HCG Onemed Kehamilan / Tes One Med Strip Pregnancy / tespek kehamilan / Test Pregnancy Strip,tespek kehamilan,test hcg onemed kehamilan tes one med strip pregnancy tespek kehamilan test pregnancy strip,test hcg onemed kehamilan tes one med strip pregnancy tespek kehamilan test pregnancy strip,test hcg onemed hamil tes one med strip pregnancy tespek hamil test pregnancy strip,17.0,14.0,3.0,17.6
Shopee,Pembalut Charm Body Fit EXTRA MAXI (non wing) Renceng isi 10 Sachet,pembalut charm body fit,pembalut charm body fit extra maxi non wing renceng isi sachet,pembalut charm body extra maxi non wing renceng,balut charm body extra maxi non wing renceng,12.0,8.0,4.0,33.3
Shopee,Charm Safe Night 29 cm & 35 cm | Charm Cooling Fresh Night Wing - Pembalut | TnT Beauty Shop,charm cooling fresh night wing,charm safe night cm cm charm cooling fresh night wing pembalut tnt beauty shop,charm safe night charm cooling fresh night wing pembalut tnt beauty,charm safe night charm cooling fresh night wing balut tnt beauty,20.0,11.0,9.0,45.0
Shopee,Milk Recipe Gentle Feminine Wash - Pembersih Kewanitaan untuk Mengurangi dari Bau dan Keputihan mencerahkan area kewanitaan,milk recipe gentle feminine wash,milk recipe gentle feminine wash pembersih kewanitaan untuk mengurangi dari bau dan keputihan mencerahkan area kewanitaan,milk recipe gentle feminine wash pembersih kewanitaan mengurangi bau keputihan mencerahkan area kewanitaan,milk recipe gentle feminine wash bersih wanita kurang bau putih cerah area wanita,17.0,13.0,4.0,23.5
Shopee,"Tes Kehamilan ONEMED Test Pack 1 Strip - Alat Tes HCG Urine Akurasi Tinggi, Test Kehamilan Instant",onemed test pack,tes kehamilan onemed test pack strip alat tes hcg urine akurasi tinggi test kehamilan instant,tes kehamilan onemed test strip alat tes hcg urine akurasi test kehamilan instant,tes hamil onemed test strip alat tes hcg urine akurasi test hamil instant,17.0,13.0,4.0,23.5
Shopee,"Onemed 1's, Akurat Test kehamilan 1's, Steril 1's, Andalan Strip 1's - Tespek, Pregnancy Test",onemed tespek,onemed s akurat test kehamilan s steril s andalan strip s tespek pregnancy test,onemed test kehamilan andalan strip tespek pregnancy test,onemed test hamil andal strip tespek pregnancy test,15.0,8.0,7.0,46.7
Shopee,5 pack TESTPACK HAMIL Onemed - Sensitifitas 20mlU (5 pack) bila mau PRIVASI beri catatan ke seller,testpack hamil,pack testpack hamil onemed sensitifitas mlu pack bila mau privasi beri catatan ke seller,testpack hamil onemed sensitifitas mlu privasi catatan,testpack hamil onemed sensitifitas mlu privasi catat,17.0,7.0,10.0,58.8
Shopee,Softex Maternity Pembalut Bersalin 45 cm 10/20 pads,softex maternity pembalut,softex maternity pembalut bersalin cm pads,softex maternity pembalut bersalin pads,softex maternity balut salin pads,8.0,5.0,3.0,37.5
Shopee,Miscella-G | Miscella V Kapsul Manjakani - Pelancar Haid - Keputihan - Pereda Nyeri,miscella v manjakani,miscellag miscella v kapsul manjakani pelancar haid keputihan pereda nyeri,miscellag miscella kapsul manjakani pelancar haid keputihan pereda nyeri,miscellag miscella kapsul manjakani pelancar haid putih reda nyeri,14.0,9.0,5.0,35.7
Shopee,Purbasari Sabun Sirih 60 ml / Perawatan Kewanitaan / Pembersih Miss V,purbasari sabun sirih,purbasari sabun sirih ml perawatan kewanitaan pembersih miss v,purbasari sirih perawatan kewanitaan pembersih miss,purbasari sirih awat wanita bersih miss,12.0,6.0,6.0,50.0
Shopee,Miss Tasa Original 100% Bpom Misstasa Sabun Tasa bar soap Sabun Kewanitaan Perapat Miss V,miss tasa original sabun,miss tasa original bpom misstasa sabun tasa bar soap sabun kewanitaan perapat miss v,miss tasa bpom misstasa tasa bar soap kewanitaan perapat miss,miss tasa bpom misstasa tasa bar soap wanita rapat miss,15.0,10.0,5.0,33.3
Shopee,ONEMED TEST PACK (ECERAN @1 STRIP) - ALAT TES KEHAMILAN WANITA,onemed test pack,onemed test pack eceran strip alat tes kehamilan wanita,onemed test eceran strip alat tes kehamilan,onemed test ecer strip alat tes hamil,11.0,7.0,4.0,36.4
Shopee,Hers Protex Daily Comfort Night Pembalut Wanita Cinnamoroll Bag Isi 20+2 pcs,cinnamoroll pembalut,hers protex daily comfort night pembalut wanita cinnamoroll bag isi pcs,hers protex daily comfort night pembalut cinnamoroll bag,hers protex daily comfort night balut cinnamoroll bag,12.0,8.0,4.0,33.3
